ParentEduc,TestPrep,WklyStudyHours,ReadingScore,WritingScore,MathScore
1,2,1,69,69,60
5,1,2,78,79,62
3,1,2,64,57,78
1,1,2,64,59,68
4,2,2,77,69,71
3,1,3,57,58,43
3,1,1,58,64,56
3,2,1,98,98,97
5,2,2,67,69,69
5,1,1,66,63,69
3,1,1,67,68,61
2,1,1,70,67,56
2,2,2,74,79,52
5,1,1,80,80,74
6,2,2,61,62,63
2,2,2,75,72,81
2,1,2,52,47,62
3,1,2,52,44,46
4,1,2,54,51,63
2,2,2,46,47,55
1,1,3,48,38,55
3,1,2,78,71,63
5,1,2,70,74,73
1,2,2,54,62,66
2,1,2,70,63,75
3,1,1,70,74,68
1,2,2,73,74,62
3,2,1,61,59,51
3,1,2,65,58,53
4,1,2,80,83,84
6,2,2,74,72,62
5,2,2,77,70,72
3,1,2,57,53,39
4,1,2,75,66,68
6,2,3,78,82,70
3,2,1,75,73,53
4,1,3,86,81,80
1,1,2,75,60,65
2,1,2,47,39,43
3,2,2,66,62,63
1,2,2,89,89,75
3,1,2,61,61,44
4,1,3,83,84,81
2,1,2,36,31,40
1,1,2,64,59,46
2,2,2,75,68,74
3,1,1,57,55,67
5,2,2,55,52,48
2,1,2,53,44,37
4,2,2,64,69,49
4,1,1,63,59,42
2,1,3,66,70,53
4,1,2,80,78,73
1,2,2,73,63,68
4,1,2,61,56,57
5,1,2,86,82,87
4,1,1,49,51,47
2,1,2,85,82,73
5,2,3,68,73,75
2,1,2,55,59,50
6,1,3,78,80,86
3,1,1,56,57,55
4,1,2,43,43,46
2,1,2,75,68,74
5,1,2,47,51,56
1,1,1,65,58,58
3,1,1,91,85,88
5,1,2,56,65,64
2,2,2,63,69,54
4,1,2,64,54,67
5,1,1,69,73,70
3,2,3,51,54,32
6,1,2,99,97,88
1,1,2,75,73,91
3,2,2,79,77,84
3,1,2,65,71,51
3,1,1,60,60,54
4,1,2,74,63,76
1,1,2,79,88,74
1,1,2,65,59,52
3,2,1,80,72,70
2,1,1,56,49,38
5,1,1,72,73,80
1,1,3,63,60,70
2,1,1,80,82,72
4,1,1,53,47,43
2,1,1,66,67,65
3,2,2,54,61,53
3,1,2,83,77,72
4,1,2,75,71,65
2,1,2,75,72,74
4,1,3,54,53,50
1,1,3,46,40,54
4,1,2,52,57,67
4,2,2,71,76,78
4,2,3,96,100,100
5,1,2,64,65,59
2,1,1,65,63,64
1,2,1,71,70,64
6,2,3,89,97,84
4,1,2,65,62,68
1,2,3,61,59,71
4,2,2,67,66,63
1,1,2,69,67,54
3,2,1,33,45,48
2,1,3,77,75,84
5,1,2,52,52,39
5,1,2,70,71,50
5,1,2,74,74,73
5,1,2,62,61,60
3,2,1,86,83,78
2,1,2,54,54,55
5,2,2,76,85,83
4,2,2,78,78,77
3,2,1,87,91,65
5,1,2,46,45,48
1,2,2,72,65,66
3,1,2,65,59,58
1,1,2,74,67,69
4,1,2,70,62,38
1,1,1,54,58,49
4,2,2,88,96,72
3,2,2,85,88,75
1,1,2,42,34,41
3,1,2,63,66,55
4,1,1,88,82,93
3,1,2,75,70,66
2,1,3,80,78,76
5,1,2,84,80,73
1,2,1,77,76,62
3,1,2,52,60,66
3,1,2,78,73,76
5,1,2,97,100,100
1,1,1,84,78,69
2,1,1,63,54,53
1,1,1,90,88,77
4,1,1,49,42,33
2,2,2,80,71,77
6,2,1,82,81,72
6,1,2,77,81,81
2,1,2,37,31,33
2,1,3,64,61,52
4,2,2,44,44,45
3,2,1,65,78,72
3,1,2,56,52,56
3,2,2,72,73,56
1,1,2,69,72,61
6,1,1,97,95,80
3,2,2,79,76,64
5,1,2,70,65,53
2,1,1,83,78,71
5,1,2,71,76,88
6,2,2,70,73,62
4,1,1,50,51,51
4,2,2,100,100,98
3,2,2,59,49,55
3,1,2,83,79,70
3,1,1,26,28,34
4,1,3,62,66,65
4,1,2,72,68,58
1,1,2,65,59,45
4,1,2,74,70,58
4,1,2,77,71,59
5,2,1,52,57,44
2,1,2,48,48,46
3,2,2,69,72,63
5,1,3,65,70,70
6,1,2,71,74,79
5,1,3,51,57,41
2,1,2,57,55,63
1,1,1,77,68,73
4,1,1,74,75,71
3,1,2,55,57,53
1,2,1,61,64,81
3,1,2,78,84,74
4,1,2,62,59,68
5,1,2,98,100,100
2,2,1,86,86,69
4,1,2,77,69,69
3,2,2,76,77,89
4,2,1,74,73,62
1,2,2,93,88,81
1,1,1,88,83,97
3,1,2,53,53,61
2,2,3,79,78,73
1,1,1,54,57,50
3,1,2,58,62,57
2,2,2,99,100,88
4,1,1,85,80,90
1,1,2,69,62,63
4,1,2,88,78,93
1,2,1,59,59,56
4,1,2,43,42,46
5,1,2,75,76,65
4,2,2,59,63,63
3,1,1,66,64,59
5,2,2,68,64,73
4,1,2,86,84,87
6,1,2,60,62,44
6,1,1,66,62,48
2,1,2,66,53,66
3,1,1,66,67,64
3,2,2,71,77,53
3,2,2,64,65,67
3,1,1,65,60,60
4,1,2,70,73,74
4,1,2,61,60,59
3,2,2,66,70,48
3,2,1,69,66,73
1,2,2,73,68,57
6,1,1,89,87,76
6,1,1,71,62,71
1,1,1,65,70,53
2,1,2,60,58,57
1,1,3,57,60,47
2,1,3,49,45,51
1,1,1,85,84,84
1,1,1,67,63,58
5,2,1,88,89,83
2,1,3,94,90,89
3,1,1,67,66,61
5,1,1,53,52,50
1,1,2,76,79,84
4,1,2,66,63,59
3,1,1,80,84,73
5,1,1,86,88,78
1,2,1,62,55,69
3,1,3,73,67,70
3,1,2,73,69,61
4,1,2,82,77,67
3,1,3,81,84,78
4,1,1,35,35,47
4,2,3,62,64,62
4,2,3,75,74,76
2,2,1,86,85,74
3,1,3,89,89,80
6,2,1,61,66,73
4,2,2,73,71,74
1,2,2,52,57,44
1,1,1,58,49,45
4,1,2,59,60,50
3,1,2,66,63,62
1,2,1,65,58,67
3,2,1,58,57,60
3,2,3,88,95,83
2,1,1,63,65,51
4,1,2,59,57,59
5,2,1,83,82,84
4,2,2,76,78,80
5,1,2,65,58,70
5,1,1,77,83,76
3,2,1,81,77,73
1,1,2,41,41,47
4,2,3,88,93,86
4,1,2,76,71,76
4,1,2,80,80,77
3,2,2,100,100,96
2,2,1,73,85,80
4,2,3,68,70,70
3,2,2,62,57,39
1,1,2,57,55,63
3,1,3,73,67,57
4,1,2,79,85,86
2,1,1,74,73,59
5,1,2,87,86,92
3,2,2,96,100,94
1,2,2,60,61,43
3,2,1,61,63,61
3,1,1,56,53,53
1,2,2,50,55,52
5,1,2,76,74,65
3,1,1,35,36,41
6,1,3,53,53,58
2,1,2,76,76,82
3,1,1,55,51,49
4,1,1,55,52,48
6,2,2,95,99,80
4,1,2,93,94,86
3,2,2,40,45,25
4,1,2,69,65,63
1,1,3,46,43,46
6,2,2,71,76,73
3,1,3,64,70,64
2,1,1,81,80,65
4,1,2,56,47,60
5,2,3,83,86,86
3,2,3,82,76,81
4,1,1,75,76,66
3,2,2,65,73,71
4,2,3,62,66,78
4,1,2,37,33,38
3,1,3,67,62,73
5,1,2,57,62,58
1,1,2,74,68,46
6,1,1,69,75,52
3,1,1,73,76,72
3,1,2,59,57,58
2,1,2,79,76,76
4,2,1,50,51,46
2,1,1,58,58,45
4,1,1,56,51,64
4,1,2,85,86,92
2,1,2,51,50,42
5,1,1,73,75,70
2,2,2,68,77,67
4,1,3,83,87,92
1,1,1,79,77,83
2,1,1,85,76,82
1,1,2,70,61,66
4,1,2,65,59,76
1,1,2,43,44,41
1,2,2,65,61,63
4,1,2,74,70,75
1,1,2,55,51,43
2,1,2,71,67,70
4,2,1,69,70,82
5,1,1,83,75,85
2,2,1,62,69,60
4,1,2,83,76,79
4,1,2,89,96,96
6,1,3,96,90,86
3,1,1,83,76,84
4,2,1,97,87,82
1,1,2,48,51,62
2,1,2,51,48,44
3,2,3,75,74,77
3,2,2,91,93,84
1,1,3,57,64,78
3,1,3,82,86,88
1,1,3,60,64,69
6,2,2,87,89,63
5,1,2,82,84,82
1,2,2,71,70,62
1,1,3,77,76,80
3,2,2,57,61,37
3,1,2,88,83,86
3,1,2,92,90,86
3,2,2,80,79,94
6,1,3,98,100,100
3,1,1,70,70,62
5,2,2,84,80,86
3,2,2,66,71,49
3,1,2,61,62,73
5,1,1,69,65,58
3,1,2,54,58,63
3,1,2,66,60,71
1,2,3,77,78,66
4,1,2,57,53,52
2,2,1,87,80,86
5,1,1,87,89,81
3,2,1,58,61,59
2,2,2,68,66,66
3,2,1,66,70,55
3,1,2,69,65,55
2,1,3,64,57,73
1,1,1,23,15,25
1,1,1,45,42,35
1,1,1,58,54,54
2,1,2,57,50,46
3,1,2,60,58,64
2,1,3,84,84,72
4,1,3,55,58,65
2,2,3,99,97,94
2,1,1,75,75,77
5,1,2,60,62,65
5,1,2,79,87,78
6,1,3,90,95,84
3,2,2,77,79,73
3,1,1,42,46,52
2,1,1,83,85,80
4,1,2,45,38,37
5,1,2,74,67,75
2,1,2,61,61,59
2,1,1,65,61,74
1,1,1,58,54,51
4,1,2,61,59,50
2,1,2,91,85,96
3,1,2,59,52,55
3,2,2,85,88,79
2,2,1,65,68,60
2,2,3,69,71,51
1,1,2,70,77,67
2,1,2,42,41,32
2,1,2,89,84,74
1,1,3,96,89,88
1,1,2,82,77,72
4,1,1,67,64,62
2,1,2,54,43,59
5,1,2,71,73,60
5,1,1,88,83,77
3,2,1,73,74,74
3,1,3,92,87,98
2,1,2,70,73,80
3,1,1,59,52,62
3,1,2,66,64,79
5,1,1,87,84,68
2,1,1,79,69,63
6,1,2,100,100,100
3,1,3,61,57,53
3,2,2,63,65,68
4,1,1,76,72,63
4,1,2,80,75,79
2,1,2,76,75,90
3,2,2,78,76,59
2,1,2,71,66,54
2,1,3,93,83,83
2,1,1,81,82,76
2,1,1,63,59,55
3,1,2,56,60,63
2,2,3,60,71,59
1,2,3,65,63,45
2,1,2,67,60,69
4,2,1,74,71,59
3,1,1,72,72,79
2,2,2,83,83,73
3,2,2,67,72,72
4,2,2,81,79,61
4,1,1,66,67,56
1,1,2,54,59,80
1,1,1,67,66,69
1,2,2,91,89,74
2,2,3,76,80,63
5,1,3,83,81,79
1,1,3,33,38,44
6,1,1,66,64,72
3,1,2,71,73,55
2,2,1,83,74,67
5,1,2,42,48,50
1,1,2,81,73,60
5,1,3,81,87,78
1,1,3,78,68,72
3,1,3,58,59,77
1,1,2,44,50,52
3,1,1,44,48,55
4,2,2,84,91,73
1,1,1,81,77,81
3,2,1,72,68,60
5,1,3,69,69,54
1,1,2,61,54,61
2,1,2,86,88,75
5,2,3,58,65,60
1,2,1,78,80,85
2,1,2,75,76,84
3,1,2,69,66,65
1,1,2,36,36,42
4,1,2,68,68,52
6,2,3,64,60,62
2,1,3,45,43,51
2,1,2,58,60,57
1,2,2,62,70,53
6,1,3,90,95,87
1,1,2,76,74,75
2,1,2,52,50,44
5,1,1,72,66,73
1,1,1,43,42,43
4,2,2,76,85,76
3,1,1,67,69,86
3,2,2,70,74,69
4,1,1,98,94,85
6,2,2,92,87,91
3,1,2,68,61,72
4,2,2,77,80,74
2,1,3,71,71,84
1,1,3,84,79,75
1,1,3,32,36,31
5,1,1,58,54,62
2,1,2,59,54,51
2,2,2,83,89,83
3,1,1,61,49,59
2,1,1,78,73,65
2,2,2,69,67,78
2,1,1,76,78,72
3,1,2,71,73,63
6,1,2,100,99,97
2,2,2,55,55,56
4,1,3,78,78,82
4,1,2,80,78,72
4,2,2,93,90,77
2,1,1,72,72,67
1,1,2,63,59,74
1,2,2,52,54,49
3,1,2,69,61,47
3,1,2,72,74,51
3,2,2,90,93,85
4,1,1,80,83,71
1,1,2,59,51,54
1,1,2,56,56,54
3,2,3,80,82,85
2,1,1,65,57,69
2,1,2,66,63,72
2,1,3,79,86,78
3,1,2,61,60,55
2,1,3,62,63,71
5,2,2,71,77,80
2,2,3,58,61,61
3,2,1,83,95,85
1,1,1,57,47,59
6,1,2,60,58,59
3,1,1,91,92,89
4,1,3,67,65,75
4,1,2,88,90,93
5,2,1,65,70,78
1,2,3,62,60,59
6,1,1,90,88,78
3,2,2,64,66,78
1,2,2,80,73,73
4,1,1,70,68,77
3,1,1,64,65,69
4,1,2,65,69,81
2,1,3,94,85,86
5,1,1,69,65,60
4,2,1,76,78,74
1,1,2,43,37,43
2,1,2,69,67,52
3,1,2,56,57,62
2,1,1,93,86,79
3,1,2,66,58,50
1,1,1,64,72,61
1,1,2,66,62,65
2,1,1,51,43,50
4,1,2,70,75,72
3,2,2,74,76,77
2,1,1,83,82,74
5,1,3,90,89,88
3,1,2,55,52,45
5,1,1,47,55,55
4,1,2,96,87,94
4,1,1,58,55,62
2,2,1,59,58,56
1,1,1,40,42,53
3,1,2,59,63,67
1,1,2,72,73,79
4,1,2,75,84,71
6,1,3,91,100,95
3,1,2,87,87,97
4,1,3,35,30,32
5,2,2,90,93,69
1,1,2,50,43,58
4,1,2,78,65,75
2,2,2,74,82,80
5,2,1,86,88,75
1,2,2,66,66,55
1,1,3,46,47,47
3,2,2,90,91,74
3,1,3,48,50,38
1,1,3,65,52,68
1,2,1,55,56,53
4,1,2,74,74,79
1,1,2,63,63,72
5,2,2,66,68,73
5,2,3,100,100,100
3,1,3,90,88,83
2,2,2,62,64,69
2,1,2,54,49,54
1,1,2,41,35,43
2,2,2,73,70,78
2,1,3,64,63,69
3,2,3,97,100,100
2,2,3,69,68,63
4,2,2,55,60,63
1,2,1,60,47,54
3,1,1,70,71,51
1,1,2,38,34,46
2,1,3,62,60,55
1,1,2,66,63,71
6,1,3,91,90,88
2,1,2,54,51,68
5,2,3,82,86,67
2,2,2,48,56,49
2,1,2,81,79,79
3,1,2,75,78,70
2,1,3,70,65,54
3,1,2,64,70,71
6,2,1,65,62,46
3,1,2,76,79,68
2,1,3,42,37,45
4,1,1,69,66,62
4,1,2,83,83,80
4,1,1,58,61,53
6,2,2,88,82,79
2,2,1,66,71,58
5,2,2,84,93,81
5,1,1,66,62,64
1,1,2,75,73,71
2,2,1,81,82,76
2,1,2,46,43,48
3,1,2,51,53,64
3,2,3,68,66,70
5,1,2,88,82,90
5,1,1,70,68,72
5,1,2,55,59,63
4,1,1,92,86,78
2,2,2,61,60,51
1,1,2,49,50,41
3,2,3,73,80,55
1,2,2,80,85,82
4,1,1,50,46,56
1,2,2,83,82,85
1,1,3,66,58,53
2,1,2,50,48,44
6,1,2,68,68,69
4,1,1,72,77,90
2,2,2,90,87,74
2,1,3,44,42,41
4,1,2,52,47,52
4,1,2,69,70,75
1,1,3,60,57,49
4,1,2,72,74,81
1,2,3,58,61,75
2,1,3,71,72,80
4,1,3,78,74,60
3,2,3,99,100,91
4,1,2,81,78,80
3,1,2,46,46,50
6,2,1,83,91,73
2,1,3,67,67,70
3,1,2,71,72,80
4,1,3,44,42,51
6,1,1,85,84,90
3,1,3,66,64,62
1,1,2,52,57,49
2,2,2,71,68,70
4,1,2,87,87,95
6,1,2,52,51,49
4,1,2,89,86,100
6,1,1,67,70,72
2,1,2,58,59,62
5,1,2,84,86,77
5,1,2,80,81,77
1,1,2,33,36,42
4,1,2,50,55,43
6,2,2,61,62,46
3,2,3,85,87,72
1,1,1,68,71,61
6,1,2,89,83,93
5,1,2,62,70,82
2,1,2,48,50,64
1,2,2,41,42,51
1,1,2,73,68,79
4,1,2,35,32,28
3,1,3,66,70,61
2,2,3,49,43,47
3,2,2,59,60,49
1,1,3,73,71,91
2,2,2,87,89,82
2,2,2,92,95,84
3,1,2,73,79,85
1,2,1,60,62,68
4,1,2,90,86,79
1,1,2,67,64,72
3,1,3,70,74,81
2,1,1,57,51,41
2,2,2,67,73,61
3,2,1,82,78,74
3,1,1,80,79,81
3,1,1,58,59,40
3,1,1,87,89,80
3,1,2,51,48,56
3,1,1,67,67,53
4,1,3,55,51,71
1,1,3,56,63,46
1,1,1,86,75,92
4,1,3,73,67,75
5,2,1,86,89,87
6,1,2,68,71,64
1,2,1,86,92,68
1,1,2,62,66,63
3,1,1,65,64,53
1,2,2,77,79,77
4,1,2,62,52,48
6,1,1,69,71,84
3,1,2,80,81,90
3,1,1,74,71,63
3,1,3,55,53,49
4,2,2,100,100,100
2,1,3,71,64,63
4,1,2,58,64,46
3,1,2,56,51,56
1,2,1,61,66,60
4,1,1,68,59,70
1,2,2,69,70,57
3,2,2,96,100,100
3,2,2,98,93,88
3,1,2,61,65,64
6,1,3,57,53,58
4,1,1,62,58,67
3,2,1,57,53,55
3,1,3,71,75,90
3,2,2,59,62,52
2,1,2,87,83,78
3,1,1,50,52,48
2,1,3,50,44,52
3,1,1,62,72,71
2,2,3,74,74,82
1,1,2,29,30,33
3,1,2,56,53,51
1,1,2,62,50,47
3,1,1,74,63,69
2,1,2,83,85,77
3,1,3,77,74,61
3,1,2,64,62,54
1,1,2,54,49,50
5,2,2,91,100,87
3,2,2,59,66,52
5,2,1,81,83,84
2,1,2,78,72,63
2,1,2,89,93,84
3,2,2,57,60,53
2,1,2,81,79,90
2,1,2,89,81,84
6,2,1,98,98,83
3,1,2,73,61,58
1,1,1,49,44,41
6,1,3,61,66,75
3,2,1,54,65,43
6,2,2,100,100,87
2,1,1,40,36,41
2,1,1,55,51,56
2,2,2,100,99,92
1,1,1,55,47,56
4,1,3,90,88,91
5,1,2,82,84,81
2,2,2,100,100,100
2,1,2,76,70,81
6,1,2,94,100,81
5,1,1,74,73,68
3,1,3,57,54,57
4,2,1,66,71,72
3,1,2,68,63,63
2,1,1,32,27,36
3,1,2,80,71,67
4,1,1,80,83,77
2,1,2,88,78,85
4,1,2,76,74,64
3,2,2,84,79,86
6,1,3,93,94,82
1,2,2,60,57,60
2,1,2,64,62,64
4,1,1,37,38,45
6,1,3,65,67,73
3,1,3,47,44,53
1,2,2,84,85,60
2,1,3,58,55,58
3,2,2,71,74,78
3,1,3,85,85,75
4,1,2,91,89,96
5,1,2,52,54,48
3,1,3,93,93,88
1,2,1,70,72,62
2,2,2,76,77,67
3,1,2,100,97,89
1,1,1,70,71,58
4,2,3,98,100,100
4,1,1,85,81,69
5,1,2,60,58,50
5,2,1,75,80,58
6,1,1,58,50,64
5,1,1,83,81,68
4,1,2,82,72,71
2,1,1,44,40,29
5,2,2,68,71,64
4,2,1,68,64,57
2,1,2,63,46,43
5,1,2,62,66,74
6,1,2,80,85,84
3,1,1,53,48,36
4,1,2,60,57,55
3,1,2,85,81,90
4,1,2,64,57,39
3,2,3,81,81,90
2,1,3,79,75,62
3,1,3,49,48,31
3,1,2,69,59,65
3,1,3,65,69,57
4,1,2,96,92,87
3,1,2,72,74,70
4,1,2,74,77,80
1,1,3,71,57,62
4,1,2,88,84,66
3,1,2,53,61,51
6,1,1,87,91,83
6,1,3,80,79,61
2,2,1,65,63,55
1,1,3,70,74,67
5,2,2,97,94,93
2,2,2,60,63,47
3,1,1,79,77,85
1,2,2,65,69,56
6,2,3,90,98,79
3,1,3,70,68,70
2,1,3,55,56,70
4,2,1,78,74,62
1,1,1,35,34,30
3,2,1,65,66,48
1,1,2,56,44,59
4,1,2,38,38,53
4,1,1,93,85,80
2,1,2,72,67,76
5,1,3,76,75,83
3,1,1,59,63,48
3,1,2,58,52,78
6,2,2,91,97,84
1,1,2,72,78,75
1,1,3,78,74,88
4,1,1,63,62,68
4,1,2,71,72,66
4,2,2,66,60,59
1,1,2,74,66,59
3,2,3,69,74,72
3,1,3,81,80,100
2,1,2,89,86,82
4,1,2,83,82,80
2,1,3,88,86,88
1,1,2,54,52,59
4,1,3,49,47,42
1,1,2,73,68,65
2,2,2,69,71,81
4,1,2,90,86,80
3,1,3,66,69,79
4,1,2,74,70,55
2,1,1,56,52,51
3,2,2,75,76,65
3,2,1,95,95,94
3,1,2,66,63,69
6,1,2,70,75,58
1,1,2,50,51,58
1,2,2,84,82,80
2,2,2,81,78,72
4,1,1,56,59,64
1,1,1,65,63,62
2,1,3,54,52,50
1,2,3,85,92,86
3,1,1,66,72,67
3,2,1,66,69,63
1,1,2,59,51,55
3,1,1,63,56,62
4,2,3,92,95,96
3,1,1,87,87,67
4,1,2,80,77,72
3,1,2,63,72,59
4,1,2,70,61,69
3,1,1,63,63,61
1,2,3,71,74,66
3,1,2,53,50,66
1,1,1,69,65,56
3,1,2,54,52,61
3,1,1,56,55,43
2,1,2,73,68,58
6,1,2,99,96,82
5,1,2,73,78,63
3,1,2,89,85,100
2,1,2,65,66,54
3,1,2,93,88,79
3,1,1,62,61,70
5,2,1,39,45,56
2,2,2,70,71,73
1,1,2,50,46,57
6,1,3,63,65,70
3,2,3,59,62,70
2,1,1,58,50,63
5,2,2,75,80,71
3,2,3,70,67,52
4,2,2,59,60,48
1,1,3,66,62,71
4,1,2,63,57,49
2,2,2,56,54,54
6,1,1,48,53,59
3,1,2,98,90,81
5,2,1,93,95,94
2,2,3,92,87,82
5,1,1,88,81,79
2,1,2,81,78,86
1,1,2,48,50,43
1,2,2,70,65,56
3,2,2,80,80,72
3,1,2,42,41,50
4,1,3,81,66,63
2,1,2,53,49,60
2,2,2,78,79,73
6,1,2,65,64,71
5,1,1,66,67,59
1,1,2,73,65,59
4,1,2,43,38,48
5,1,2,46,55,48
3,1,3,75,74,58
5,1,1,53,48,49
6,2,2,79,77,70
2,1,1,55,49,54
2,2,1,66,67,48
2,1,2,83,77,70
3,2,2,60,67,66
3,1,3,53,55,58
1,1,1,57,48,52
4,1,1,56,59,47
3,1,2,74,80,61
5,1,1,80,81,77
1,2,2,76,72,81
4,1,1,91,91,80
3,1,2,90,86,100
5,1,2,80,83,89
3,2,2,62,71,60
3,2,1,92,95,84
1,2,2,74,66,62
3,1,1,65,62,72
2,1,1,43,40,43
4,2,2,89,96,89
1,1,2,78,74,81
2,1,3,82,82,74
1,2,1,96,98,89
5,1,2,64,59,71
5,2,2,88,88,94
2,1,2,86,82,70
4,2,3,64,59,59
2,2,2,81,72,74
3,1,2,81,80,68
4,2,3,81,81,67
1,1,1,66,66,60
3,1,2,58,56,57
2,2,2,60,62,65
4,1,2,75,73,78
1,1,2,77,68,63
3,1,2,87,79,81
3,1,2,75,73,60
2,2,1,61,64,63
1,1,2,82,80,72
4,1,1,68,71,63
4,1,3,78,74,75
3,1,2,74,64,54
5,1,2,98,96,86
3,1,2,66,65,79
3,1,2,71,66,65
3,1,1,61,66,62
1,1,2,68,59,54
3,1,2,63,58,63
4,1,2,80,80,84
3,2,2,59,65,52
4,1,3,49,39,59
5,2,1,94,100,93
1,1,1,72,70,86
3,1,3,47,45,42
4,1,2,55,55,57
2,1,2,73,71,66
5,1,1,65,63,41
4,1,2,63,61,62
5,2,3,100,100,98
1,1,2,47,41,41
5,2,3,92,96,76
2,1,2,86,83,98
2,1,2,60,59,55
1,1,3,74,69,47
1,2,1,48,53,47
3,1,2,73,71,73
4,1,3,93,92,73
5,1,2,87,86,88
4,1,1,75,73,64
2,2,2,62,68,53
4,1,3,85,86,81
5,1,1,57,62,60
3,1,3,75,78,86
5,1,1,65,58,70
4,1,2,50,50,38
3,2,1,62,71,68
1,1,2,69,75,73
3,1,1,81,81,72
1,2,2,67,57,65
3,1,2,64,59,50
5,1,1,32,33,35
3,1,2,50,52,46
5,1,2,83,91,84
3,1,2,44,47,37
1,1,1,45,38,40
5,1,3,74,85,82
4,1,2,48,43,54
1,1,3,66,64,69
4,1,2,84,83,64
4,2,1,84,78,73
6,1,1,94,96,83
5,2,2,67,69,68
3,1,2,86,83,85
2,1,2,50,47,50
2,1,1,63,61,65
1,1,1,63,65,59
1,1,1,53,43,49
3,2,1,64,60,72
1,1,2,50,51,39
3,1,1,71,67,49
3,1,3,59,51,46
1,1,2,78,72,67
2,1,1,58,50,36
1,1,2,77,74,75
1,1,2,54,41,38
4,1,1,67,63,79
1,1,1,69,67,53
5,1,2,50,53,43
1,1,2,49,44,57
2,1,2,64,60,65
2,1,1,41,35,63
5,2,1,73,79,65
1,1,1,59,57,41
3,1,2,51,48,54
1,2,2,91,82,97
6,2,3,75,70,73
4,1,1,91,94,82
6,2,1,66,71,54
5,1,3,69,61,70
2,1,1,54,51,35
3,1,2,36,33,29
4,1,3,81,78,84
3,1,3,43,34,41
4,2,2,65,63,77
5,2,2,77,77,78
1,2,2,71,71,59
5,1,2,94,90,100
4,2,3,86,86,83
5,1,2,29,32,34
4,1,2,49,41,50
4,1,2,17,16,16
1,1,2,69,62,68
1,1,3,59,53,52
6,2,1,67,55,59
4,2,2,65,69,66
2,1,2,58,60,55
5,2,1,91,88,91
3,1,2,71,66,49
2,1,2,61,53,45
1,2,1,62,65,78
2,2,2,71,65,78
4,1,2,72,72,69
4,2,2,76,74,54
2,2,2,73,79,77
1,1,2,75,76,70
3,1,2,63,56,66
1,2,2,94,92,87
5,1,1,72,77,61
2,1,2,57,53,66
2,2,2,66,73,61
4,2,1,87,87,73
2,2,2,49,47,47
3,2,2,85,82,76
2,1,3,71,72,66
1,2,1,93,93,84
5,2,1,64,58,53
3,1,2,76,77,69
1,1,3,55,61,64
1,1,3,61,59,66
1,2,2,83,95,79
5,2,2,78,78,64
2,2,2,87,90,95
4,1,3,85,86,78
4,2,2,49,52,58
3,1,3,55,50,56
1,1,3,53,53,63
5,1,1,73,75,82
2,2,3,66,70,61
1,2,3,66,68,81
4,1,2,68,60,76
1,2,3,89,90,76
4,1,1,90,83,72
4,2,2,65,64,81
4,1,1,72,72,59
3,1,3,65,65,55
3,1,2,63,57,61
3,1,2,78,81,77
1,1,1,72,68,62
4,1,2,67,56,56
1,1,3,48,44,57
3,1,1,61,55,61
2,2,3,81,76,58
3,2,2,62,72,58
1,2,2,75,78,60
6,1,2,61,57,41
3,1,2,66,66,51
3,1,2,77,71,85
2,1,2,75,77,72
2,2,2,69,70,62
2,1,1,46,42,39
6,2,2,65,65,67
3,2,2,81,78,82
4,2,2,71,76,46
3,1,3,69,70,74
3,1,2,48,45,58
1,1,2,91,88,96
3,1,1,42,39,35
1,1,2,69,66,79
3,1,2,38,33,49
1,1,2,68,58,55
1,1,2,76,73,76
4,2,2,62,60,73
3,1,1,65,66,76
5,1,2,71,69,76
5,1,2,69,75,60
4,1,2,80,80,82
5,1,2,94,93,85
6,1,1,78,79,76
1,2,2,65,73,64
5,1,2,82,80,88
6,2,1,88,85,80
4,1,2,71,70,58
6,1,2,70,69,76
5,2,2,90,94,97
1,1,3,49,56,46
2,1,2,75,79,84
4,1,3,70,68,56
3,1,2,62,62,54
2,1,2,70,68,74
3,2,2,81,85,85
3,1,1,54,51,59
2,1,2,33,32,31
2,1,2,71,65,56
4,1,3,47,43,55
4,2,1,63,54,55
4,1,2,54,47,41
5,1,2,84,71,70
3,1,1,78,72,58
1,1,2,60,54,40
3,2,1,75,74,48
3,1,1,82,74,82
6,2,3,100,100,100
4,1,1,82,77,60
2,2,2,91,88,74
4,1,2,65,60,67
1,2,3,49,48,59
4,1,2,100,100,88
2,2,3,92,99,92
5,1,3,92,92,78
2,1,2,88,91,86
1,2,2,72,74,63
1,2,3,60,55,51
5,2,2,81,86,87
1,2,2,85,78,86
3,2,2,63,60,58
2,1,2,55,54,65
3,1,2,90,89,82
5,1,1,78,79,67
4,2,1,73,71,64
4,2,1,86,82,77
3,1,3,91,85,82
5,1,2,65,61,49
5,1,2,52,49,43
3,1,3,54,52,74
1,1,2,66,65,48
2,2,2,48,52,41
4,1,1,82,74,64
3,1,2,55,50,63
4,1,2,67,64,74
5,2,3,93,100,93
2,1,1,50,58,48
1,1,1,51,44,40
3,1,1,35,36,33
4,1,1,50,53,47
2,1,2,70,59,62
2,1,1,42,43,52
3,1,1,75,72,60
1,1,1,71,72,58
2,1,2,72,66,60
3,2,2,100,93,100
4,1,1,49,48,44
1,1,1,56,46,51
6,2,2,55,56,56
1,1,2,83,84,71
3,2,1,66,67,64
5,1,2,68,69,63
6,2,1,95,95,75
