,ParentEduc,TestPrep,WklyStudyHours,ReadingScore,WritingScore,MathScore
9156,3,2,2,69,72,70
9157,2,2,3,74,76,69
9158,3,1,1,60,55,64
9159,5,2,2,44,47,29
9160,2,2,2,62,60,63
9161,3,1,3,65,66,73
9162,6,1,2,62,64,64
9163,2,1,2,91,91,89
9164,3,2,2,62,61,52
9165,2,1,1,40,41,28
9166,5,2,2,71,70,57
9167,1,2,3,61,59,71
9168,5,1,2,72,70,85
9169,2,1,2,87,79,74
9170,5,1,2,66,65,63
9171,5,1,2,78,79,65
9172,4,1,3,94,100,92
9173,2,1,1,77,74,66
9174,3,1,1,90,85,86
9175,1,1,2,76,81,69
9176,4,1,2,90,85,88
9177,3,1,2,49,45,51
9178,4,1,1,67,59,56
9179,5,1,3,73,68,74
9180,1,1,3,70,66,77
9181,1,2,2,68,69,66
9182,4,1,1,46,47,32
9183,3,1,2,47,40,43
9184,2,2,2,93,97,88
9185,2,2,3,59,56,63
9186,4,1,3,81,81,88
9187,5,1,1,68,69,77
9188,2,1,2,61,57,57
9189,1,2,2,41,45,44
9190,4,1,2,75,85,66
9191,5,2,1,97,100,99
9192,3,1,2,51,45,57
9193,3,1,1,77,71,66
9194,3,1,2,85,85,84
9195,5,1,2,51,52,72
9196,4,1,1,80,81,69
9197,5,1,1,73,75,70
9198,1,1,2,74,69,74
9199,1,1,3,63,66,70
9200,2,2,2,75,82,67
9201,3,1,2,66,62,58
9202,4,2,1,69,72,60
9203,2,1,1,48,49,42
9204,5,1,2,75,76,74
9205,3,2,2,90,89,82
9206,2,2,1,69,79,70
9207,2,2,2,69,73,83
9208,2,1,3,71,65,52
9209,5,1,2,64,63,59
9210,3,1,2,76,79,80
9211,3,1,2,84,80,71
9212,2,1,2,48,49,58
9213,1,2,2,83,90,80
9214,4,1,1,59,63,80
9215,5,1,2,74,70,58
9216,2,2,2,73,63,68
9217,2,1,2,55,56,65
9218,3,1,1,49,40,34
9219,5,1,2,57,56,65
9220,1,1,3,72,70,65
9221,5,1,1,59,49,61
9222,2,1,2,59,51,67
9223,5,2,2,71,71,62
9224,3,2,1,60,56,55
9225,3,1,1,70,71,77
9226,2,1,2,61,64,56
9227,1,2,2,64,67,54
9228,3,2,2,60,67,76
9229,3,2,1,92,95,84
9230,3,2,1,94,86,92
9231,4,1,2,47,50,55
9232,5,1,1,91,85,90
9233,3,1,2,64,74,75
9234,2,1,2,58,65,55
9235,2,1,1,73,75,64
9236,2,1,2,79,76,83
9237,3,1,1,88,86,89
9238,3,1,1,64,63,62
9239,2,1,3,55,56,70
9240,3,1,1,68,69,78
9241,1,1,2,38,34,49
9242,4,1,2,46,48,55
9243,4,1,2,60,60,54
9244,3,2,3,68,72,76
9245,5,2,2,76,71,74
9246,4,2,2,91,93,82
9247,3,2,2,65,68,54
9248,3,1,2,54,52,57
9249,4,1,3,64,65,45
9250,1,1,2,73,61,75
9251,3,2,2,78,70,72
9252,1,1,1,63,64,54
9253,3,2,2,57,58,43
9254,2,2,1,69,61,50
9255,6,1,1,78,75,81
9256,4,1,2,57,52,67
9257,3,1,2,82,78,79
9258,5,1,2,59,61,45
9259,4,1,3,95,93,87
9260,3,1,2,72,70,50
9261,3,2,2,67,70,77
9262,3,1,2,86,86,85
9263,3,2,2,46,49,39
9264,3,1,2,61,58,47
9265,2,2,1,65,68,61
9266,3,1,3,72,74,73
9267,4,1,1,79,76,77
9268,1,1,1,16,17,13
9269,5,1,2,88,77,84
9270,2,1,2,80,80,87
9271,1,1,2,54,46,52
9272,4,1,1,42,38,35
9273,2,2,1,75,71,83
9274,5,2,2,82,81,70
9275,4,1,2,39,37,53
9276,3,1,1,61,55,57
9277,2,1,2,72,70,80
9278,1,2,3,58,61,75
9279,5,1,2,95,82,82
9280,3,1,3,62,56,62
9281,4,1,2,60,61,72
9282,5,1,2,80,75,83
9283,4,1,1,74,76,60
9284,4,1,3,73,74,65
9285,2,2,1,52,53,60
9286,3,2,2,61,61,65
9287,1,1,3,70,70,69
9288,1,1,1,81,82,86
9289,5,1,1,79,80,93
9290,2,1,2,62,51,60
9291,3,2,1,76,72,56
9292,1,2,1,50,51,41
9293,4,2,2,61,64,57
9294,3,2,2,83,75,74
9295,3,1,3,59,56,53
9296,4,2,2,86,89,84
9297,3,1,2,82,77,67
9298,4,1,3,73,83,72
9299,3,2,1,68,73,75
9300,2,1,1,64,64,70
9301,2,2,2,56,61,64
9302,6,1,3,45,53,48
9303,4,2,2,79,78,88
9304,1,1,1,60,55,52
9305,2,1,1,61,55,64
9306,2,1,2,67,62,80
9307,1,1,1,73,69,53
9308,2,2,1,71,70,77
9309,3,1,2,94,90,87
9310,3,1,1,72,67,64
9311,6,2,3,82,86,83
9312,2,2,2,82,82,71
9313,4,1,2,67,63,61
9314,1,2,2,64,62,55
9315,1,1,2,55,56,59
9316,2,2,3,72,73,74
9317,5,2,3,92,100,94
9318,3,2,2,82,80,85
9319,2,2,2,85,86,72
9320,4,1,2,64,65,68
9321,2,1,2,76,63,79
9322,4,2,2,62,67,64
9323,1,1,2,91,85,82
9324,5,1,2,84,83,75
9325,6,1,3,57,53,58
9326,4,1,2,86,80,67
9327,6,1,2,84,81,80
9328,1,1,1,82,81,77
9329,1,1,2,42,50,32
9330,4,1,3,65,64,45
9331,6,1,3,90,84,93
9332,4,1,1,90,94,84
9333,3,1,3,47,46,43
9334,5,1,2,79,72,69
9335,3,2,3,72,73,70
9336,3,1,1,82,89,72
9337,6,2,2,87,89,70
9338,5,1,2,94,95,85
9339,3,1,1,63,61,53
9340,3,2,2,68,76,62
9341,3,2,2,86,86,70
9342,3,1,1,56,57,70
9343,6,1,3,79,75,87
9344,3,1,1,86,82,80
9345,6,1,3,90,95,84
9346,3,1,2,87,86,82
9347,3,1,1,78,74,60
9348,2,2,2,81,84,77
9349,1,1,1,46,40,41
9350,3,1,3,67,62,68
9351,5,1,2,58,56,55
9352,4,1,1,74,70,53
9353,3,1,1,90,89,96
9354,3,1,2,39,34,41
9355,2,2,1,74,73,64
9356,2,2,1,83,87,74
9357,4,2,2,83,79,78
9358,2,2,1,50,51,53
9359,2,2,2,73,72,75
9360,4,2,2,54,59,48
9361,1,1,2,66,67,71
9362,5,1,2,56,55,50
9363,2,1,1,55,52,41
9364,2,1,3,52,44,65
9365,5,2,2,82,87,89
9366,5,1,1,56,48,44
9367,3,1,2,60,59,54
9368,3,1,2,57,59,41
9369,3,1,1,75,78,70
9370,3,1,2,70,73,82
9371,2,1,2,75,67,62
9372,2,1,2,68,65,56
9373,3,1,1,74,71,66
9374,2,1,2,54,51,57
9375,3,1,2,51,47,60
9376,3,1,3,74,78,79
9377,3,2,2,81,80,67
9378,3,1,1,66,57,65
9379,3,1,3,100,99,96
9380,1,1,2,51,43,48
9381,3,1,1,95,90,86
9382,2,1,2,88,83,87
9383,3,2,1,95,95,94
9384,5,1,2,72,68,72
9385,3,2,2,91,87,83
9386,3,1,2,75,76,72
9387,3,1,2,66,60,73
9388,4,2,2,95,96,90
9389,3,1,3,46,48,33
9390,4,1,2,55,54,64
9391,3,1,2,59,52,49
9392,3,1,1,70,69,54
9393,2,2,1,83,86,85
9394,4,2,1,75,68,64
9395,3,1,2,51,49,61
9396,5,1,2,56,63,49
9397,3,1,2,71,74,72
9398,1,1,2,70,70,77
9399,4,1,1,51,61,65
9400,4,1,2,99,95,100
9401,1,1,3,56,56,43
9402,1,1,1,52,47,45
9403,4,1,1,59,58,56
9404,3,1,2,49,49,40
9405,1,2,2,79,86,65
9406,3,2,3,76,86,65
9407,4,1,3,50,47,60
9408,2,1,1,59,58,57
9409,6,1,1,58,58,58
9410,6,2,2,91,100,78
9411,2,1,2,71,63,66
9412,3,2,2,78,80,81
9413,5,2,1,98,98,89
9414,5,1,2,66,58,63
9415,3,1,2,43,42,53
9416,1,1,1,31,31,34
9417,3,2,2,76,76,67
9418,1,1,1,76,73,83
9419,2,1,1,67,61,68
9420,3,2,3,60,73,71
9421,1,1,2,82,77,72
9422,5,1,2,81,88,78
9423,3,1,3,92,93,85
9424,1,1,3,86,82,84
9425,3,1,2,71,71,68
9426,4,1,2,58,60,64
9427,6,1,1,82,88,88
9428,5,2,2,86,93,79
9429,1,2,3,82,90,87
9430,1,2,2,75,81,67
9431,4,1,2,39,39,44
9432,4,2,3,82,87,74
9433,5,2,2,83,88,75
9434,4,1,2,68,68,71
9435,1,1,2,53,49,59
9436,4,2,2,66,70,69
9437,6,1,2,81,79,67
9438,1,2,2,53,44,48
9439,2,1,1,87,88,83
9440,4,1,2,86,83,100
9441,2,2,2,55,48,58
9442,3,1,2,58,62,57
9443,1,1,1,76,74,82
9444,2,1,2,55,55,55
9445,3,1,3,63,57,72
9446,4,2,2,90,95,98
9447,1,1,2,82,77,67
9448,5,1,2,48,43,45
9449,4,1,2,55,43,57
9450,1,2,1,86,82,58
9451,3,1,2,49,45,50
9452,2,1,1,61,61,70
9453,5,2,2,78,77,68
9454,1,1,1,64,56,52
9455,3,2,2,76,82,93
9456,4,2,1,78,87,70
9457,3,2,2,80,80,69
9458,2,2,2,72,61,72
9459,1,1,2,45,45,54
9460,5,1,2,79,84,70
9461,4,2,2,82,76,78
9462,4,1,2,66,67,53
9463,4,2,1,54,55,64
9464,3,1,1,92,99,99
9465,4,2,3,80,83,70
9466,5,2,3,59,56,57
9467,6,1,2,100,90,99
9468,4,1,2,90,85,74
9469,6,1,2,77,68,69
9470,3,1,2,63,60,51
9471,5,1,3,86,88,100
9472,1,1,1,77,74,85
9473,4,2,2,85,90,91
9474,1,2,1,60,67,54
9475,4,1,2,62,59,81
9476,3,1,1,57,53,44
9477,2,1,2,84,75,91
9478,3,1,2,81,90,82
9479,1,1,2,55,60,60
9480,4,1,2,60,58,74
9481,1,2,1,39,45,47
9482,3,1,3,68,67,71
9483,3,1,2,36,33,29
9484,4,1,2,79,74,86
9485,3,2,3,64,69,82
9486,3,1,2,55,46,40
9487,4,1,2,82,79,85
9488,3,1,2,83,89,90
9489,1,1,1,41,43,30
9490,6,1,2,77,76,78
9491,3,2,2,76,71,70
9492,2,1,2,72,69,64
9493,1,2,1,76,72,53
9494,4,2,2,74,80,83
9495,5,2,3,66,73,71
9496,3,2,3,64,64,55
9497,2,1,1,56,49,55
9498,5,1,2,95,93,97
9499,4,1,2,68,65,71
9500,5,2,1,50,54,53
9501,3,1,3,67,65,67
9502,3,1,1,73,72,78
9503,2,1,2,45,45,50
9504,4,1,2,47,45,49
9505,5,2,2,77,75,77
9506,3,1,3,77,82,79
9507,3,1,2,81,82,84
9508,4,1,2,77,67,73
9509,3,1,3,69,68,58
9510,2,1,3,78,63,81
9511,1,1,2,51,51,50
9512,2,1,2,78,75,57
9513,2,1,1,70,63,63
9514,2,1,3,65,61,68
9515,3,1,3,57,54,57
9516,2,1,1,65,71,74
9517,4,1,2,65,59,71
9518,4,2,2,99,98,96
9519,3,2,3,75,72,75
9520,2,1,2,41,37,52
9521,3,1,1,68,65,65
9522,3,1,2,75,77,64
9523,3,1,2,49,49,60
9524,4,1,2,88,88,87
9525,2,1,3,49,43,38
9526,2,2,2,60,52,48
9527,6,2,2,87,90,87
9528,2,2,2,67,68,66
9529,3,1,2,48,47,61
9530,5,1,2,72,73,86
9531,3,2,3,54,67,72
9532,6,1,3,89,93,88
9533,6,1,2,67,70,63
9534,2,2,2,63,62,67
9535,1,2,2,77,78,75
9536,3,1,1,94,97,89
9537,4,1,2,85,86,80
9538,1,2,2,85,77,78
9539,2,1,1,78,78,75
9540,4,2,2,81,79,67
9541,5,1,1,86,85,80
9542,5,2,1,95,95,71
9543,3,1,1,42,43,46
9544,3,1,1,69,63,68
9545,2,1,3,40,33,29
9546,4,1,2,69,66,64
9547,6,2,2,83,80,81
9548,3,1,2,62,61,58
9549,4,1,2,59,59,67
9550,3,1,1,74,76,66
9551,3,1,2,71,65,82
9552,2,1,2,91,87,85
9553,6,1,3,68,72,59
9554,3,1,3,89,87,100
9555,3,1,2,68,66,67
9556,4,1,1,53,45,61
9557,1,2,1,80,79,92
9558,1,1,2,47,39,49
9559,1,2,2,52,54,44
9560,6,1,1,65,61,47
9561,6,1,3,85,79,96
9562,3,1,2,65,63,77
9563,3,1,2,100,100,84
9564,3,1,2,53,48,63
9565,2,2,3,55,58,51
9566,4,1,2,76,66,69
9567,2,1,2,63,61,50
9568,2,2,3,61,58,58
9569,5,1,3,59,67,52
9570,4,2,2,95,100,89
9571,2,1,2,73,68,72
9572,2,1,1,53,59,39
9573,4,1,2,67,65,62
9574,2,1,1,73,58,72
9575,3,2,2,48,48,41
9576,1,1,2,57,58,48
9577,3,1,2,40,45,41
9578,1,2,2,60,63,67
9579,1,1,3,57,52,45
9580,4,1,1,70,60,55
9581,1,1,1,74,72,60
9582,2,1,1,62,59,71
9583,4,2,3,85,95,74
9584,3,1,3,66,63,62
9585,2,1,3,54,57,47
9586,1,2,1,61,58,67
9587,4,1,2,57,69,53
9588,3,1,2,83,82,81
9589,5,2,3,99,100,85
9590,5,1,2,51,52,56
9591,3,1,2,55,58,58
9592,1,1,2,28,26,39
9593,1,1,1,34,24,41
9594,5,1,2,60,63,62
9595,2,1,2,69,68,64
9596,3,1,2,89,91,85
9597,4,2,2,85,81,68
9598,2,1,1,67,74,73
9599,5,1,3,61,58,68
9600,4,1,2,43,37,50
9601,1,1,1,62,55,58
9602,3,1,1,65,66,55
9603,1,1,3,73,76,65
9604,6,2,2,91,97,91
9605,5,1,1,63,65,50
9606,2,1,1,69,68,72
9607,4,1,1,50,45,59
9608,3,1,2,67,66,73
9609,1,1,3,41,33,38
9610,2,2,2,75,71,60
9611,1,2,2,55,63,47
9612,2,1,2,69,58,72
9613,3,1,1,82,86,75
9614,3,2,3,83,93,97
9615,3,1,2,61,54,65
9616,2,1,3,74,69,65
9617,3,1,3,89,84,71
9618,3,2,3,36,41,45
9619,6,1,3,73,65,59
9620,3,2,1,98,100,85
9621,2,1,1,68,65,61
9622,3,1,2,46,45,44
9623,4,1,2,54,55,45
9624,1,1,1,79,73,86
9625,1,1,3,63,58,52
9626,1,1,3,61,56,68
9627,3,1,2,74,68,78
9628,3,2,1,65,68,50
9629,1,1,1,67,59,69
9630,3,1,2,75,70,68
9631,3,1,2,72,72,69
9632,1,1,2,45,39,35
9633,1,1,1,49,41,58
9634,2,1,2,62,69,60
9635,5,1,2,65,70,80
9636,3,1,2,69,59,65
9637,1,2,2,80,84,80
9638,3,1,1,66,66,75
9639,1,1,2,58,52,59
9640,1,2,2,69,65,65
9641,4,1,3,66,66,52
9642,5,1,1,62,57,65
9643,6,2,3,64,73,52
9644,3,1,2,70,67,51
9645,3,1,1,54,49,59
9646,1,1,2,59,54,60
9647,5,2,2,88,96,94
9648,3,1,2,59,62,50
9649,3,1,3,95,87,79
9650,1,1,1,63,62,46
9651,5,1,2,83,85,84
9652,3,1,1,78,76,91
9653,1,2,2,65,62,47
9654,4,2,2,82,86,74
9655,4,1,2,79,70,85
9656,1,1,2,61,61,58
9657,3,1,2,98,96,94
9658,3,1,2,66,67,63
9659,4,2,1,74,73,62
9660,1,1,2,81,78,67
9661,4,1,2,79,82,72
9662,5,1,2,77,79,87
9663,4,1,1,57,63,52
9664,4,1,3,57,49,45
9665,4,1,2,49,54,43
9666,4,1,2,71,58,73
9667,3,2,2,40,41,53
9668,3,2,2,69,76,66
9669,3,1,1,87,86,78
9670,3,2,3,76,75,65
9671,3,2,2,70,67,66
9672,3,1,2,75,72,72
9673,4,2,1,93,93,78
9674,5,2,1,54,60,56
9675,1,1,3,63,56,61
9676,2,2,1,73,72,78
9677,3,1,2,81,83,85
9678,1,2,2,71,66,76
9679,1,2,2,65,70,62
9680,2,1,1,34,31,28
9681,3,2,1,91,88,93
9682,2,2,2,85,84,62
9683,1,2,2,57,57,64
9684,5,1,3,51,57,41
9685,1,2,1,81,85,67
9686,1,1,2,68,69,81
9687,3,1,1,78,82,79
9688,4,1,3,72,72,86
9689,3,2,2,75,75,80
9690,2,1,2,55,55,61
9691,2,2,2,84,89,77
9692,1,2,1,51,44,35
9693,1,2,2,66,71,72
9694,3,2,3,60,57,47
9695,1,1,3,56,45,55
9696,4,2,1,82,86,77
9697,6,1,1,80,79,77
9698,5,1,3,95,81,91
9699,3,1,1,66,68,61
9700,3,1,1,59,56,58
9701,5,1,2,68,68,49
9702,3,2,2,72,77,56
9703,3,2,2,77,76,80
9704,4,1,1,68,75,60
9705,3,1,2,30,32,35
9706,2,2,1,74,70,63
9707,6,1,1,61,60,45
9708,3,1,1,42,46,52
9709,5,1,3,73,73,74
9710,3,2,3,80,82,85
9711,6,2,3,67,64,67
9712,4,1,1,91,88,95
9713,3,1,1,57,58,58
9714,5,1,1,62,55,60
9715,1,1,2,65,73,63
9716,4,1,3,84,87,78
9717,1,1,3,58,60,46
9718,1,1,2,46,40,52
9719,3,1,3,72,66,53
9720,3,1,2,80,71,67
9721,5,1,1,81,77,84
9722,2,1,2,65,66,73
9723,3,1,3,49,42,49
9724,3,1,3,70,65,75
9725,3,2,2,84,85,89
9726,3,1,2,49,47,52
9727,1,1,1,73,71,63
9728,3,1,2,67,65,55
9729,4,1,1,80,83,71
9730,3,1,2,54,54,42
9731,3,1,2,58,57,55
9732,4,1,2,69,68,66
9733,2,1,1,49,36,51
9734,5,1,1,88,83,77
9735,3,1,2,58,42,55
9736,4,1,2,75,69,83
9737,6,1,2,44,44,51
9738,6,1,2,92,77,89
9739,3,2,2,65,64,57
9740,2,1,3,71,70,63
9741,6,2,2,81,83,69
9742,4,2,2,76,74,54
9743,1,2,1,75,75,70
9744,5,1,2,39,37,48
9745,2,2,2,37,37,41
9746,2,1,2,53,53,50
9747,1,2,2,78,71,79
9748,3,2,2,88,90,74
9749,5,1,2,98,97,96
9750,4,1,3,90,90,73
9751,1,2,3,91,90,89
9752,2,1,3,64,70,68
9753,4,2,2,77,83,68
9754,2,2,2,77,72,65
9755,2,1,3,75,66,74
9756,5,1,2,66,64,59
9757,3,1,2,86,86,80
9758,4,1,3,72,66,62
9759,4,2,2,65,70,55
9760,3,1,2,79,70,80
9761,1,2,2,47,47,54
9762,3,2,1,62,69,70
9763,4,2,1,69,75,70
9764,2,2,2,89,85,73
9765,2,2,1,63,65,70
9766,3,2,1,72,78,85
9767,3,2,2,78,73,83
9768,3,1,2,74,76,86
9769,1,2,2,93,94,100
9770,6,1,1,89,87,76
9771,6,1,2,66,67,62
9772,6,2,1,41,36,45
9773,3,1,3,55,55,64
9774,5,1,2,86,95,87
9775,1,2,1,59,56,56
9776,4,1,2,59,56,62
9777,3,2,2,100,100,88
9778,5,1,2,71,80,86
9779,6,2,2,72,77,54
9780,5,2,3,83,83,74
9781,1,1,2,64,62,65
9782,5,2,1,70,66,75
9783,5,2,1,86,95,92
9784,2,1,2,64,56,51
9785,1,1,1,90,89,71
9786,4,1,3,83,84,81
9787,4,1,2,68,60,67
9788,6,1,3,75,72,68
9789,1,1,1,70,63,59
9790,2,1,3,56,55,71
9791,4,2,2,97,96,100
9792,5,2,1,95,93,87
9793,3,2,2,94,100,93
9794,5,2,2,60,62,60
9795,3,1,3,90,92,87
9796,2,2,1,76,71,54
9797,3,1,2,82,76,64
9798,3,1,2,59,64,69
9799,5,1,2,84,80,86
9800,3,1,1,40,36,45
9801,5,2,3,89,88,78
9802,2,2,2,55,56,51
9803,4,1,2,62,65,70
9804,1,1,2,82,78,71
9805,5,1,1,84,86,97
9806,3,1,2,69,64,77
9807,2,1,1,75,73,69
9808,2,1,2,72,73,62
9809,3,1,3,60,63,66
9810,2,1,1,77,71,71
9811,3,1,2,49,43,55
9812,3,1,2,52,44,46
9813,3,2,1,64,53,57
9814,3,1,3,82,76,73
9815,5,1,1,72,80,66
9816,6,1,1,58,55,48
9817,4,1,2,92,93,95
9818,4,2,2,80,85,73
9819,3,1,2,77,71,85
9820,3,2,3,70,74,70
9821,6,2,2,88,89,79
9822,3,2,1,84,84,69
9823,6,1,2,65,73,74
9824,4,2,2,77,87,75
9825,6,1,2,66,73,78
9826,3,1,2,83,81,82
9827,2,2,2,93,91,100
9828,3,2,3,62,62,68
9829,1,2,1,83,73,67
9830,5,2,3,68,78,73
9831,2,1,1,69,60,62
9832,5,2,1,77,81,87
9833,6,1,1,58,55,47
9834,3,1,3,85,82,86
9835,6,2,3,99,98,78
9836,2,1,2,83,80,89
9837,1,1,3,34,24,45
9838,3,1,2,56,55,71
9839,1,2,2,72,67,68
9840,5,1,3,91,92,96
9841,2,2,1,51,50,44
9842,5,1,2,68,74,72
9843,2,2,1,73,73,54
9844,3,1,2,73,76,75
9845,6,1,1,73,72,74
9846,5,2,2,81,82,76
9847,3,2,3,88,81,88
9848,2,2,2,54,51,28
9849,2,2,2,77,78,62
9850,6,2,2,81,76,78
9851,4,1,3,78,77,65
9852,4,1,2,94,100,81
9853,1,1,1,34,30,26
9854,3,1,2,88,93,100
9855,4,1,2,56,50,69
9856,4,1,2,72,72,59
9857,4,2,1,66,62,51
9858,3,1,3,68,63,80
9859,3,1,2,90,81,91
9860,3,1,1,58,58,65
9861,1,1,1,94,93,90
9862,3,1,2,62,59,64
9863,3,1,2,75,76,84
9864,3,1,1,77,78,84
9865,4,1,2,88,92,87
9866,1,2,1,37,43,30
9867,3,2,2,88,84,94
9868,2,2,3,81,76,58
9869,4,1,2,70,69,60
9870,3,1,1,56,50,68
9871,3,1,1,77,74,96
9872,6,1,2,81,86,75
9873,4,1,2,74,74,60
9874,3,1,2,68,64,55
9875,5,1,2,60,60,45
9876,4,1,2,82,73,63
9877,2,1,3,85,80,90
9878,3,2,2,67,76,58
9879,4,2,2,52,52,53
9880,6,1,2,61,64,68
9881,1,1,2,75,68,60
9882,2,1,2,62,58,63
9883,2,2,2,75,78,73
9884,2,1,2,33,31,47
9885,1,2,2,84,90,84
9886,2,1,2,59,57,70
9887,2,1,2,77,72,91
9888,1,2,2,60,61,43
9889,2,2,2,45,48,52
9890,2,2,1,65,65,65
9891,5,1,1,69,66,61
9892,4,2,2,66,67,73
9893,6,1,1,69,70,67
9894,3,1,2,65,61,74
9895,2,1,2,41,28,37
9896,2,1,2,96,94,87
9897,4,1,2,65,69,58
9898,5,1,2,72,74,67
9899,2,1,3,60,58,58
9900,2,2,1,62,66,50
9901,1,1,2,81,71,60
9902,1,1,2,65,68,76
9903,1,1,2,37,32,43
9904,4,1,3,100,100,100
9905,1,2,3,62,68,82
9906,4,1,1,39,44,36
9907,2,1,2,84,80,71
9908,3,2,3,89,98,82
9909,5,1,2,70,71,51
9910,1,1,2,73,71,62
9911,6,2,2,76,85,78
9912,3,1,2,62,67,49
9913,1,1,3,72,72,75
9914,2,1,2,54,54,47
9915,5,1,3,80,76,81
9916,1,1,1,50,47,45
9917,3,2,1,68,65,58
9918,5,1,3,65,64,51
9919,3,1,2,58,56,57
9920,2,1,1,68,69,75
9921,3,2,2,83,77,86
9922,3,1,2,60,53,62
9923,4,1,3,85,74,63
9924,3,2,1,98,98,97
9925,5,1,2,56,56,64
9926,5,2,1,52,53,32
9927,3,2,1,70,76,59
9928,5,1,2,58,57,59
9929,2,1,2,82,76,92
9930,1,1,1,58,50,48
9931,5,2,1,81,83,84
9932,1,1,3,71,68,74
9933,4,1,1,57,52,53
9934,4,1,3,66,62,76
9935,1,2,1,94,84,89
9936,3,1,3,58,56,72
9937,4,2,1,94,96,86
9938,4,2,3,76,73,59
9939,4,2,3,93,93,86
9940,5,2,3,74,80,85
9941,4,2,2,75,74,67
9942,4,1,2,51,49,53
9943,1,1,2,60,48,62
9944,1,1,3,53,46,55
9945,1,2,3,62,62,54
9946,4,1,2,82,84,92
9947,1,2,2,82,92,97
9948,5,1,3,90,95,96
9949,1,1,2,64,63,61
9950,3,1,1,70,64,55
9951,5,1,2,66,69,64
9952,2,1,2,66,65,69
9953,2,1,2,65,61,73
9954,3,1,1,53,46,41
9955,5,2,2,65,73,71
9956,1,2,1,58,60,40
9957,4,1,3,94,90,95
9958,3,2,2,90,91,74
9959,3,2,1,57,54,62
9960,5,2,2,64,65,66
9961,4,1,2,96,83,80
9962,2,2,2,83,83,73
9963,1,1,3,71,67,68
9964,3,1,2,42,38,30
9965,5,1,2,73,77,78
9966,3,1,1,41,39,53
9967,4,1,2,91,88,82
9968,2,2,2,87,85,70
9969,6,1,2,99,97,87
9970,3,1,2,90,86,100
9971,4,1,2,72,72,75
9972,4,2,2,83,85,79
9973,1,2,2,61,68,55
9974,3,2,3,73,75,62
9975,3,1,2,43,46,52
9976,3,1,2,93,88,93
9977,5,1,2,58,56,67
9978,4,2,2,66,60,64
9979,6,2,2,94,95,70
9980,2,1,1,50,49,49
9981,2,1,3,70,68,77
9982,4,1,2,59,65,56
9983,4,2,1,75,74,56
9984,3,1,1,93,92,92
9985,1,1,2,74,80,87
9986,3,2,2,78,77,86
9987,2,1,2,76,72,62
9988,3,1,1,53,44,38
9989,4,1,1,59,53,48
9990,1,1,1,68,66,65
9991,3,2,2,56,68,65
9992,1,1,1,68,67,60
9993,3,2,1,96,100,96
9994,1,2,2,34,36,27
9995,3,2,3,38,33,31
9996,5,1,1,52,59,49
9997,1,1,2,65,66,48
9998,6,1,2,67,64,65
9999,2,2,2,71,73,85
10000,4,1,1,54,54,48
10001,2,2,2,100,98,79
10002,4,1,3,62,64,82
10003,1,1,3,66,64,74
10004,1,2,1,81,80,83
10005,3,1,2,99,93,84
10006,2,2,1,71,66,53
10007,1,1,2,50,39,36
10008,4,1,1,50,61,59
10009,2,1,1,59,57,70
10010,3,1,2,71,67,75
10011,2,1,2,69,56,64
10012,4,2,2,78,81,79
10013,2,1,2,61,60,63
10014,4,2,1,47,58,60
10015,2,1,1,61,53,46
10016,2,1,1,68,75,87
10017,5,1,2,60,58,50
10018,2,1,1,59,49,42
10019,3,1,1,52,54,53
10020,3,1,3,79,83,77
10021,4,2,1,57,49,53
10022,6,1,2,75,71,80
10023,3,1,3,78,76,63
10024,4,1,2,73,70,77
10025,4,1,2,87,84,75
10026,2,1,2,81,79,65
10027,5,2,1,98,98,88
10028,4,2,1,89,87,81
10029,1,1,1,60,56,60
10030,3,1,2,56,55,54
10031,1,1,1,61,64,67
10032,3,2,2,97,94,76
10033,2,1,2,60,56,67
10034,2,1,2,83,76,82
10035,5,2,2,97,100,82
10036,3,2,1,62,67,69
10037,2,1,2,81,78,86
10038,3,1,3,51,53,46
10039,2,1,2,81,70,74
10040,3,1,2,82,84,72
10041,6,1,1,99,98,79
10042,1,1,2,74,69,73
10043,1,1,2,53,42,64
10044,2,1,2,65,60,49
10045,1,2,3,78,78,67
10046,3,2,2,85,80,78
10047,5,1,2,49,46,51
10048,1,2,1,47,44,42
10049,5,2,2,77,72,77
10050,3,2,2,87,89,97
10051,4,1,2,72,70,61
10052,4,1,1,90,83,72
10053,5,1,2,64,59,78
10054,3,1,2,73,76,71
10055,3,1,1,49,47,36
10056,1,1,2,45,38,52
10057,1,1,1,62,63,69
10058,3,1,2,56,61,51
10059,2,2,1,58,62,52
10060,1,2,1,73,72,61
10061,1,1,1,58,54,51
10062,1,1,2,51,43,45
10063,2,1,2,81,68,83
10064,1,1,1,35,40,45
10065,3,1,1,65,62,67
10066,5,2,2,82,87,73
10067,1,1,2,74,67,65
10068,6,1,2,45,50,47
10069,3,1,2,58,54,44
10070,1,1,3,54,58,64
10071,4,1,2,55,50,51
10072,6,1,2,82,88,87
10073,2,1,3,72,73,57
10074,2,2,1,77,74,74
10075,3,1,2,76,81,79
10076,2,1,2,74,72,78
10077,3,2,2,96,100,94
10078,4,1,1,77,79,77
10079,5,1,2,60,54,60
10080,3,1,3,76,74,82
10081,3,2,1,70,77,70
10082,2,1,2,54,49,54
10083,3,1,3,91,84,98
10084,2,1,3,49,45,51
10085,5,2,2,83,90,72
